Threat Category,IOCs (Indicators of Compromise),Threat Actor,Attack Vector,Geographical Location,Sentiment in Forums,Severity Score,Predicted Threat Category,Suggested Defense Mechanism,Risk Level Prediction,Cleaned Threat Description,Keyword Extraction,Named Entities (NER),Topic Modeling Labels,Word Count
DDoS,"['malicious.net', 'spam.exe']",APT-28,Network,Global,0.95,5,Malware,Quarantine,5,phishing email with malicious link,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing,41
DDoS,"['10.0.0.2', 'infected.exe']",Unknown,Network,USA,0.8,5,DDoS,Increase Web Security,2,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Phishing,30
DDoS,['123.456.78.9'],APT-28,Web,USA,0.79,3,DDoS,Increase Web Security,2,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Malware,13
DDoS,['123.456.78.9'],Unknown,Email,Germany,0.78,5,Ransomware,Increase Web Security,1,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Ransomware,28
Malware,"['malwarehash123', 'trojan.com']",Unknown,Email,Global,0.69,2,DDoS,Increase Web Security,1,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Malware,11
Phishing,"['10.0.0.2', 'infected.exe']",Anonymous,Email,North Korea,0.89,2,Phishing,Increase Web Security,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing,35
Malware,"['10.0.0.2', 'infected.exe']",Anonymous,Email,Global,0.63,1,DDoS,Monitor for Phishing,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",DDoS,43
Malware,"['10.0.0.2', 'infected.exe']",Lazarus Group,Email,Germany,0.97,3,DDoS,Quarantine,3,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Malware,23
Malware,"['10.0.0.2', 'infected.exe']",Anonymous,Network,USA,0.95,1,DDoS,Increase Web Security,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Phishing,24
DDoS,['123.456.78.9'],Anonymous,Email,Germany,0.67,2,DDoS,Quarantine,5,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Phishing,29
Ransomware,['123.456.78.9'],APT-28,Network,Russia,0.86,2,Malware,Patch Vulnerability,5,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Phishing,43
Phishing,"['10.0.0.2', 'infected.exe']",Anonymous,Network,Russia,0.79,4,DDoS,Increase Web Security,1,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",DDoS,45
Ransomware,"['malwarehash123', 'trojan.com']",Lazarus Group,Network,North Korea,0.67,5,Phishing,Increase Web Security,2,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",DDoS,28
Malware,"['192.168.1.1', 'malicious.com']",APT-28,Web,Germany,0.99,2,Phishing,Quarantine,2,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",DDoS,18
Malware,"['192.168.1.1', 'malicious.com']",Lazarus Group,Web,North Korea,0.51,1,DDoS,Increase Web Security,4,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Ransomware,16
Ransomware,"['malwarehash123', 'trojan.com']",Anonymous,Network,North Korea,0.63,1,Ransomware,Increase Web Security,5,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",DDoS,39
Ransomware,"['10.0.0.2', 'infected.exe']",Lazarus Group,Web,Russia,0.76,5,Malware,Increase Web Security,3,phishing email with malicious link,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",DDoS,22
Ransomware,['123.456.78.9'],APT-28,Email,North Korea,0.76,5,DDoS,Monitor for Phishing,3,malware detected in email attachment,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",DDoS,36
Malware,"['192.168.1.1', 'malicious.com']",Unknown,Email,Russia,0.79,4,DDoS,Monitor for Phishing,4,phishing email with malicious link,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Malware,44
Malware,"['malicious.net', 'spam.exe']",Lazarus Group,Network,USA,0.88,3,DDoS,Increase Web Security,2,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",DDoS,22
Phishing,"['malicious.net', 'spam.exe']",Lazarus Group,Email,Germany,0.81,1,Ransomware,Monitor for Phishing,3,malware detected in email attachment,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",Ransomware,24
Phishing,"['malwarehash123', 'trojan.com']",APT-28,Network,North Korea,0.8,5,Ransomware,Patch Vulnerability,2,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Phishing,18
Malware,"['10.0.0.2', 'infected.exe']",APT-28,Network,Russia,0.53,1,Ransomware,Increase Web Security,4,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Malware,32
Ransomware,"['192.168.1.1', 'malicious.com']",Lazarus Group,Email,Global,0.69,5,Malware,Patch Vulnerability,2,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Phishing,45
Ransomware,"['10.0.0.2', 'infected.exe']",Anonymous,Web,North Korea,0.62,2,Phishing,Quarantine,2,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",DDoS,49
Phishing,"['192.168.1.1', 'malicious.com']",Lazarus Group,Email,USA,0.63,1,Malware,Patch Vulnerability,2,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing,12
Malware,"['malwarehash123', 'trojan.com']",APT-28,Email,USA,0.78,2,Ransomware,Quarantine,3,phishing email with malicious link,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Phishing,43
Phishing,"['malwarehash123', 'trojan.com']",Unknown,Network,Global,0.6,1,Phishing,Increase Web Security,1,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Malware,28
Phishing,"['malicious.net', 'spam.exe']",Unknown,Network,Russia,0.65,3,Phishing,Quarantine,5,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing,37
DDoS,"['10.0.0.2', 'infected.exe']",Anonymous,Network,North Korea,0.62,4,Ransomware,Quarantine,2,phishing email with malicious link,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Ransomware,32
DDoS,"['malicious.net', 'spam.exe']",Lazarus Group,Network,Russia,0.97,2,Ransomware,Patch Vulnerability,2,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Phishing,49
DDoS,"['10.0.0.2', 'infected.exe']",Unknown,Web,USA,0.97,5,Malware,Patch Vulnerability,2,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Phishing,16
Ransomware,"['malicious.net', 'spam.exe']",Lazarus Group,Web,Russia,0.8,3,Ransomware,Patch Vulnerability,1,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Phishing,21
Malware,['123.456.78.9'],APT-28,Web,USA,0.96,1,Phishing,Increase Web Security,4,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Phishing,23
Malware,['123.456.78.9'],Unknown,Network,Russia,0.89,2,DDoS,Increase Web Security,3,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Malware,24
Malware,['123.456.78.9'],Anonymous,Network,Global,0.79,1,Ransomware,Patch Vulnerability,1,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Phishing,12
Malware,['123.456.78.9'],APT-28,Network,Germany,0.5,1,Ransomware,Increase Web Security,2,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing,24
DDoS,"['192.168.1.1', 'malicious.com']",Anonymous,Web,Global,0.89,1,Malware,Increase Web Security,1,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Ransomware,33
Ransomware,['123.456.78.9'],APT-28,Network,Global,0.85,4,Malware,Quarantine,1,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Ransomware,17
Ransomware,"['malwarehash123', 'trojan.com']",Unknown,Email,Germany,0.81,4,Ransomware,Quarantine,1,malware detected in email attachment,"['phishing', 'link', 'email']","['Anonymous', 'Website']",DDoS,14
DDoS,"['malwarehash123', 'trojan.com']",Anonymous,Email,Germany,0.88,5,Phishing,Patch Vulnerability,4,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing,13
Ransomware,"['192.168.1.1', 'malicious.com']",Anonymous,Network,North Korea,0.76,2,Phishing,Increase Web Security,5,phishing email with malicious link,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing,23
DDoS,['123.456.78.9'],APT-28,Email,North Korea,0.85,3,DDoS,Quarantine,3,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing,25
Malware,['123.456.78.9'],Anonymous,Email,Global,0.97,3,Ransomware,Monitor for Phishing,4,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Phishing,29
DDoS,['123.456.78.9'],APT-28,Web,Global,0.69,3,Malware,Increase Web Security,4,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Phishing,33
Malware,"['malicious.net', 'spam.exe']",APT-28,Network,USA,0.85,1,Phishing,Monitor for Phishing,5,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Ransomware,15
Malware,"['10.0.0.2', 'infected.exe']",APT-28,Network,USA,0.74,4,DDoS,Patch Vulnerability,4,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Phishing,40
Phishing,"['malicious.net', 'spam.exe']",APT-28,Web,North Korea,0.84,2,Ransomware,Increase Web Security,1,phishing email with malicious link,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Phishing,15
DDoS,"['10.0.0.2', 'infected.exe']",Unknown,Email,North Korea,0.88,1,Phishing,Patch Vulnerability,1,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",DDoS,44
Phishing,['123.456.78.9'],APT-28,Email,USA,0.52,4,Ransomware,Patch Vulnerability,2,malware detected in email attachment,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Ransomware,24
DDoS,['123.456.78.9'],Lazarus Group,Network,USA,0.82,4,Ransomware,Patch Vulnerability,4,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Phishing,38
DDoS,"['malicious.net', 'spam.exe']",Anonymous,Email,Russia,0.61,2,Phishing,Patch Vulnerability,2,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Phishing,12
Phishing,"['malicious.net', 'spam.exe']",Lazarus Group,Web,Russia,0.84,2,Phishing,Patch Vulnerability,3,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Malware,20
Phishing,"['10.0.0.2', 'infected.exe']",Unknown,Web,USA,0.73,2,Phishing,Increase Web Security,1,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",Malware,12
DDoS,"['malwarehash123', 'trojan.com']",Lazarus Group,Network,Russia,0.89,1,Ransomware,Monitor for Phishing,3,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Malware,37
Ransomware,"['10.0.0.2', 'infected.exe']",Anonymous,Web,Germany,0.56,5,Ransomware,Increase Web Security,5,malware detected in email attachment,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Phishing,19
Malware,"['malicious.net', 'spam.exe']",Lazarus Group,Web,North Korea,0.81,2,DDoS,Increase Web Security,1,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Phishing,42
Phishing,"['malicious.net', 'spam.exe']",Unknown,Network,North Korea,0.64,5,Malware,Increase Web Security,3,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",DDoS,25
Malware,"['192.168.1.1', 'malicious.com']",APT-28,Web,USA,0.93,1,Ransomware,Quarantine,5,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",DDoS,19
Ransomware,"['malicious.net', 'spam.exe']",Lazarus Group,Web,Global,0.96,5,Malware,Quarantine,3,phishing email with malicious link,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",DDoS,42
Ransomware,"['192.168.1.1', 'malicious.com']",Unknown,Web,USA,1.0,3,Phishing,Increase Web Security,5,phishing email with malicious link,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Malware,45
Ransomware,"['malwarehash123', 'trojan.com']",Unknown,Email,Russia,0.9,5,Ransomware,Monitor for Phishing,5,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Phishing,12
Phishing,"['10.0.0.2', 'infected.exe']",Anonymous,Network,Global,0.88,2,DDoS,Increase Web Security,1,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Malware,14
Ransomware,"['10.0.0.2', 'infected.exe']",Anonymous,Network,Russia,0.61,1,DDoS,Patch Vulnerability,2,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",DDoS,21
Phishing,"['192.168.1.1', 'malicious.com']",Lazarus Group,Network,Germany,0.67,2,Malware,Quarantine,5,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing,22
Ransomware,"['10.0.0.2', 'infected.exe']",APT-28,Email,Russia,0.73,3,Phishing,Quarantine,5,phishing email with malicious link,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Ransomware,33
Malware,"['malicious.net', 'spam.exe']",Unknown,Email,Germany,0.89,2,Malware,Increase Web Security,1,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Phishing,41
Malware,['123.456.78.9'],Lazarus Group,Network,Germany,0.96,2,Phishing,Increase Web Security,2,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Phishing,25
DDoS,"['192.168.1.1', 'malicious.com']",Unknown,Email,Russia,0.59,2,DDoS,Monitor for Phishing,4,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",DDoS,41
Malware,"['10.0.0.2', 'infected.exe']",Unknown,Network,Russia,0.96,4,Malware,Monitor for Phishing,4,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Malware,46
DDoS,"['192.168.1.1', 'malicious.com']",APT-28,Email,Germany,0.85,3,DDoS,Patch Vulnerability,2,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Ransomware,45
Malware,"['192.168.1.1', 'malicious.com']",APT-28,Web,Global,0.81,2,DDoS,Increase Web Security,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Phishing,30
Phishing,['123.456.78.9'],Lazarus Group,Web,Germany,0.6,2,Phishing,Increase Web Security,1,malware detected in email attachment,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Malware,21
Malware,"['malicious.net', 'spam.exe']",APT-28,Network,North Korea,0.53,2,Malware,Increase Web Security,2,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",DDoS,30
DDoS,"['192.168.1.1', 'malicious.com']",APT-28,Email,Germany,0.78,1,Malware,Quarantine,4,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Malware,30
DDoS,"['10.0.0.2', 'infected.exe']",Lazarus Group,Email,Global,0.83,4,DDoS,Patch Vulnerability,5,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",DDoS,15
Ransomware,"['malwarehash123', 'trojan.com']",APT-28,Web,North Korea,0.61,1,DDoS,Monitor for Phishing,4,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing,18
Phishing,"['192.168.1.1', 'malicious.com']",Anonymous,Web,USA,0.78,4,Phishing,Quarantine,5,phishing email with malicious link,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing,10
Malware,"['192.168.1.1', 'malicious.com']",Unknown,Email,USA,0.93,2,Ransomware,Quarantine,1,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Malware,21
Ransomware,['123.456.78.9'],Unknown,Email,Global,0.92,3,Ransomware,Quarantine,5,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Ransomware,23
Malware,"['malicious.net', 'spam.exe']",Unknown,Email,Germany,0.96,5,DDoS,Quarantine,2,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Phishing,15
Malware,"['malwarehash123', 'trojan.com']",Unknown,Email,Russia,0.68,5,Ransomware,Patch Vulnerability,5,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",DDoS,10
Ransomware,"['10.0.0.2', 'infected.exe']",Lazarus Group,Email,Global,0.66,2,Ransomware,Increase Web Security,3,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Phishing,31
Ransomware,"['malwarehash123', 'trojan.com']",Unknown,Email,North Korea,0.87,1,Ransomware,Monitor for Phishing,2,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Phishing,43
Ransomware,"['10.0.0.2', 'infected.exe']",Unknown,Network,North Korea,0.72,3,Ransomware,Monitor for Phishing,1,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Ransomware,20
Ransomware,"['malicious.net', 'spam.exe']",Unknown,Email,USA,0.54,4,DDoS,Quarantine,2,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Ransomware,12
Ransomware,"['10.0.0.2', 'infected.exe']",Unknown,Web,North Korea,0.64,2,Ransomware,Quarantine,3,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Phishing,15
Malware,['123.456.78.9'],Anonymous,Network,Global,0.71,3,Ransomware,Patch Vulnerability,1,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",Phishing,15
Ransomware,['123.456.78.9'],Unknown,Email,North Korea,0.65,3,Phishing,Quarantine,4,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Phishing,29
Phishing,['123.456.78.9'],Anonymous,Web,Global,0.67,4,DDoS,Monitor for Phishing,3,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Malware,30
DDoS,['123.456.78.9'],Lazarus Group,Network,Russia,0.65,3,Malware,Monitor for Phishing,1,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Ransomware,11
Ransomware,"['malwarehash123', 'trojan.com']",APT-28,Web,USA,0.52,1,Malware,Increase Web Security,5,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Ransomware,35
Ransomware,"['malicious.net', 'spam.exe']",Unknown,Email,North Korea,0.82,1,Phishing,Increase Web Security,2,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Malware,40
Malware,"['10.0.0.2', 'infected.exe']",APT-28,Email,Global,0.8,1,Phishing,Monitor for Phishing,1,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Phishing,35
Ransomware,"['10.0.0.2', 'infected.exe']",APT-28,Email,Germany,0.83,3,DDoS,Monitor for Phishing,2,phishing email with malicious link,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Ransomware,41
Ransomware,['123.456.78.9'],Lazarus Group,Email,USA,0.6,1,Malware,Patch Vulnerability,5,phishing email with malicious link,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",DDoS,19
Ransomware,['123.456.78.9'],APT-28,Network,Russia,0.65,4,Ransomware,Patch Vulnerability,1,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",DDoS,32
Malware,"['192.168.1.1', 'malicious.com']",Anonymous,Network,Global,0.81,3,Phishing,Monitor for Phishing,4,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Phishing,15
Ransomware,"['malicious.net', 'spam.exe']",APT-28,Web,Russia,0.8,5,Malware,Quarantine,3,phishing email with malicious link,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Malware,32
DDoS,"['malwarehash123', 'trojan.com']",APT-28,Email,Russia,0.75,3,DDoS,Increase Web Security,1,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Phishing,37
Malware,"['10.0.0.2', 'infected.exe']",APT-28,Web,North Korea,0.68,4,Ransomware,Monitor for Phishing,5,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Phishing,39
DDoS,"['192.168.1.1', 'malicious.com']",Unknown,Network,North Korea,0.96,5,DDoS,Quarantine,1,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Phishing,23
Malware,"['192.168.1.1', 'malicious.com']",Unknown,Email,Global,0.67,3,Phishing,Monitor for Phishing,2,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Phishing,46
Ransomware,"['10.0.0.2', 'infected.exe']",Anonymous,Email,Germany,0.73,1,Malware,Increase Web Security,1,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",DDoS,41
DDoS,"['malwarehash123', 'trojan.com']",Anonymous,Network,Global,0.84,2,Malware,Increase Web Security,4,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Malware,43
Malware,"['192.168.1.1', 'malicious.com']",Unknown,Network,Germany,0.77,2,Malware,Patch Vulnerability,1,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",DDoS,31
Phishing,"['192.168.1.1', 'malicious.com']",Anonymous,Network,Russia,0.67,1,Malware,Patch Vulnerability,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Malware,40
Ransomware,"['malicious.net', 'spam.exe']",Unknown,Network,USA,0.72,2,Ransomware,Patch Vulnerability,1,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Phishing,16
Malware,"['malwarehash123', 'trojan.com']",Lazarus Group,Network,Global,0.9,2,Ransomware,Patch Vulnerability,2,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing,30
Phishing,"['192.168.1.1', 'malicious.com']",APT-28,Email,Global,0.64,1,DDoS,Increase Web Security,1,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Ransomware,25
Malware,"['malwarehash123', 'trojan.com']",APT-28,Network,Germany,0.57,1,Ransomware,Quarantine,4,phishing email with malicious link,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Ransomware,29
Phishing,"['10.0.0.2', 'infected.exe']",Anonymous,Email,Russia,0.66,3,Phishing,Quarantine,5,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Malware,28
Ransomware,['123.456.78.9'],Unknown,Email,Russia,0.92,3,Phishing,Quarantine,1,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Malware,41
DDoS,"['192.168.1.1', 'malicious.com']",Unknown,Network,Germany,0.54,1,Malware,Monitor for Phishing,1,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",DDoS,24
Phishing,"['malicious.net', 'spam.exe']",Anonymous,Network,Russia,1.0,4,Phishing,Patch Vulnerability,3,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Ransomware,14
Malware,"['10.0.0.2', 'infected.exe']",Unknown,Email,North Korea,0.77,2,DDoS,Patch Vulnerability,4,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",DDoS,20
Ransomware,"['malwarehash123', 'trojan.com']",Lazarus Group,Network,USA,0.99,3,Ransomware,Increase Web Security,5,malware detected in email attachment,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Phishing,24
Phishing,"['10.0.0.2', 'infected.exe']",APT-28,Network,Global,0.97,2,Ransomware,Increase Web Security,2,phishing email with malicious link,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Ransomware,38
